ANCON;17,658;11,786;15,774;9,985
ATE;194,633;156,484;188,499;144,519
BARRANCO;26,764;7,037;13,682;22,250
BREÑA;52,083;20,255;32,805;51,399
CARABAYLLO;95,218;75,888;82,406;66,402
CHACLACAYO;20,745;12,021;15,419;14,922
CHORRILLOS;143,348;57,053;97,307;95,963
CIENEGUILLA;10,496;8,028;8,195;6,223
COMAS;210,748;123,164;172,267;161,402
EL AGUSTINO;78,236;47,238;73,500;54,876
INDEPENDENCIA;83,808;50,063;72,994;64,635
JESUS MARIA;56,750;19,420;28,245;60,569
LA MOLINA;96,585;26,362;42,451;82,307
LA VICTORIA;94,289;40,243;80,806;80,301
LIMA;146,933;66,930;110,141;139,677
LINCE;41,843;13,964;22,372;42,854
LOS OLIVOS;148,726;84,584;105,670;131,333
LURIGANCHO;56,560;52,056;53,466;45,499
LURIN;32,809;17,785;26,899;16,517
MAGDALENA DEL MAR;41,157;10,826;17,381;34,744
MIRAFLORES;78,762;14,387;30,057;71,976
PACHACAMAC;31,498;27,766;28,799;17,826
PUCUSANA;5,567;3,197;2,680;4,598
PUEBLO LIBRE;54,059;15,613;24,208;52,452
PUENTE PIEDRA;103,346;86,320;99,655;68,646
PUNTA HERMOSA;4,339;1,444;2,324;2,310
PUNTA NEGRA;3,501;1,359;2,159;2,191
RIMAC;85,605;37,175;67,087;69,063
SAN BARTOLO;3,643;1,643;2,224;2,085
SAN BORJA;76,996;14,748;30,324;69,413
SAN ISIDRO;47,769;6,444;16,936;40,357
SAN JUAN DE LURIGANCHO;347,839;251,833;318,615;264,607
SAN JUAN DE MIRAFLORES;163,756;88,563;136,974;123,048
SAN LUIS;30,419;12,838;20,996;26,511
SAN MARTIN DE PORRES;261,299;135,431;190,749;209,170
SAN MIGUEL;87,427;23,383;36,323;70,424
SANTA ANITA;84,389;60,146;77,440;72,034
SANTA MARÍA DEL MAR;968;258;438;688
SANTA ROSA;6,282;5,156;6,375;4,261
SANTIAGO DE SURCO;201,675;43,697;87,307;160,377
SURQUILLO;53,103;16,469;28,682;46,008
VILLA EL SALVADOR;168,341;93,252;148,926;105,090
VILLA MARIA DEL TRIUNFO;168,024;96,141;149,475;106,839
BELLAVISTA;42,168;11,662;22,682;34,795
CALLAO;194,821;86,812;137,680;148,697
CARMEN DE LA LEGUA;22,932;10,828;17,318;17,038
LA PERLA;33,316;8,748;16,734;28,647
LA PUNTA;4,406;598;1,657;3,797
MI PERU;13,823;9,010;10,883;7,084
VENTANILLA;99,394;41,615;98,000;64,095
